nr os;nr oj;nr ma;rok;ferma;liur;liod;c1(BS);c2(CT);c3(CP);c4(CD);c5(HL);c6(PS);c7(GA);LOP
3788;1285;1287;88;1;6;5;6;3;2;3;5;6;3;28
3789;2211;1303;88;1;6;6;6;3;2;3;6;5;3;28
3790;1285;1287;88;1;6;5;6;3;3;3;6;6;3;30
3791;2211;1303;88;1;6;6;4;3;3;3;5;6;3;27
3793;2211;1303;88;1;6;6;4;3;3;3;6;6;3;28
3795;3005;1295;88;1;3;3;6;1;2;3;6;6;3;27
3796;1285;2993;88;1;4;3;6;3;3;3;6;6;1;28
3797;2992;1295;88;1;3;3;6;2;2;3;6;6;2;27
3798;1285;2993;88;1;4;3;6;3;3;3;6;6;3;30
3799;1285;2993;88;1;4;3;6;1;3;3;6;6;3;28
3800;2174;1310;88;1;6;4;6;3;3;2;6;5;3;28
3802;2174;1310;88;1;6;4;4;3;3;3;5;5;3;26
3803;2174;1310;88;1;6;4;4;3;3;3;5;5;3;26
3804;2213;2220;88;1;5;5;6;3;3;3;6;6;3;30
3805;2213;2220;88;1;5;5;4;3;3;2;5;6;3;26
3806;1286;3015;88;1;8;5;6;1;3;3;5;5;3;26
3807;1286;3015;88;1;8;5;6;1;3;3;5;6;3;27
3808;1286;3015;88;1;8;5;4;3;3;3;6;6;3;28
3809;2211;2227;88;1;5;5;6;3;3;3;6;5;3;29
3810;2211;2227;88;1;5;5;4;3;2;3;5;6;3;26
3811;2211;2227;88;1;5;5;6;3;3;3;5;6;3;29
4754;2211;3786;89;1;2;2;6;3;2;3;6;5;2;27
4755;2211;3786;89;1;2;2;6;3;2;3;6;5;2;27
4756;3006;3785;89;1;2;2;6;3;2;3;6;5;2;27
4757;2211;3786;89;1;2;2;6;3;2;3;6;5;1;26
4758;2211;3786;89;1;2;2;6;3;2;3;6;5;2;27
4759;690;3787;89;1;2;3;6;3;2;3;6;5;3;28
4760;3006;3785;89;1;2;2;4;3;2;3;5;6;2;25
4761;1285;1293;89;1;3;2;6;3;3;3;6;5;2;28
4762;690;3787;89;1;2;3;4;3;3;3;5;6;2;26
4763;2174;1310;89;1;2;1;6;3;3;3;6;6;2;29
4764;2174;1310;89;1;2;1;4;3;3;3;6;6;2;27
4765;1285;1293;89;1;3;2;4;3;3;3;6;6;2;27
4766;1285;1293;89;1;3;2;6;3;3;3;5;5;2;27
4767;1285;1293;89;1;3;2;6;3;2;3;5;5;2;26
4768;1281;2994;89;1;4;4;6;3;3;3;6;5;2;28
4769;1281;2994;89;1;4;4;6;3;2;3;6;6;3;29
4770;1281;2999;89;1;6;6;6;3;2;3;6;6;3;29
4771;1281;2999;89;1;6;6;6;3;3;3;5;6;2;28
4772;2242;3784;89;1;4;3;4;3;3;3;5;6;2;26
4773;2242;3784;89;1;4;3;6;3;3;3;5;6;3;29
4774;1281;3015;89;1;7;6;6;3;3;3;5;6;2;28
4775;1281;2200;89;1;7;7;6;3;3;3;5;5;2;27
4776;1281;2200;89;1;7;7;6;3;2;3;6;6;2;28
4777;3792;3794;89;1;2;3;6;3;3;3;5;5;2;27
4778;3792;3794;89;1;2;3;6;3;3;3;5;5;1;26
4779;3792;3794;89;1;2;3;4;3;3;3;5;5;2;25
4780;3792;3794;89;1;2;3;6;3;3;3;5;5;2;27
4781;3792;3794;89;1;2;3;6;3;2;3;5;5;3;27
4782;1281;3795;89;1;5;3;6;3;3;3;6;6;2;29
4783;1281;3795;89;1;5;3;4;3;3;3;6;6;2;27
4784;1281;3801;89;1;3;2;6;3;3;3;5;5;2;27
4785;1281;3801;89;1;3;2;6;3;2;3;5;5;3;27
4786;1281;3791;89;1;4;4;6;3;2;3;6;6;2;28
4787;1281;3801;89;1;3;2;6;3;3;3;5;5;1;26
4788;1281;3791;89;1;4;4;6;3;3;3;6;6;3;30
4789;1281;3801;89;1;3;2;6;3;2;3;5;5;3;27
4790;1281;3805;89;1;5;5;4;3;3;3;5;6;3;27
4791;1281;3805;89;1;5;5;6;3;3;3;5;6;2;28
4792;1281;2231;89;1;7;6;6;3;3;3;5;5;2;27
4793;1281;2231;89;1;7;6;4;3;3;3;6;5;3;27
4794;1281;2231;89;1;7;6;4;3;3;3;5;6;2;26
5550;1276;3794;90;1;3;2;6;3;2;3;6;6;3;29
5551;1276;3799;90;1;6;5;6;3;2;3;5;5;3;27
5552;1276;3799;90;1;6;5;6;3;2;3;5;6;3;28
5554;1276;4753;90;1;5;5;6;3;2;3;6;6;3;29
5555;3790;4751;90;1;3;3;6;3;2;3;6;6;3;29
5556;4766;1296;90;1;5;4;6;3;2;3;5;6;3;28
5557;3808;4783;90;1;4;4;6;3;2;3;5;6;3;28
5558;1276;3002;90;1;6;2;6;3;3;3;5;5;3;28
5559;1276;4752;90;1;5;5;6;3;2;3;5;6;3;28
6111;5537;5542;91;1;8;6;4;3;3;2;6;6;3;27
6112;5537;5542;91;1;8;6;4;3;3;2;6;6;3;27
6113;5540;5538;91;1;5;3;4;2;3;2;6;5;3;25
6115;5545;4753;91;1;3;3;6;3;2;3;5;6;3;28
6116;3808;4769;91;1;1;2;6;3;2;3;6;6;3;29
6117;5545;4753;91;1;3;3;6;3;2;3;5;6;3;28
6118;3006;4755;91;1;1;4;6;3;2;3;5;6;2;27
6119;3808;4769;91;1;1;2;6;3;2;3;6;6;3;29
6120;3808;4769;91;1;1;2;6;3;2;3;5;6;3;28
6121;2211;5544;91;1;3;2;6;3;2;3;5;6;2;27
6122;3006;4755;91;1;1;4;6;3;2;3;5;6;3;28
6123;2211;5544;91;1;3;2;6;3;2;3;5;6;2;27
6124;3006;4755;91;1;1;4;6;3;2;3;4;6;3;27
6125;2211;5544;91;1;3;2;6;3;2;3;5;6;2;27
6126;5543;5546;91;1;6;6;6;3;2;3;5;6;3;28
6127;2211;5544;91;1;3;2;6;3;2;3;4;6;3;27
6128;5553;5539;91;1;2;4;6;3;2;3;5;6;3;28
6129;5543;5548;91;1;6;6;6;3;2;3;5;6;3;28
6130;5543;2231;91;1;5;4;6;3;2;3;6;6;3;29
6131;5543;2231;91;1;5;4;6;3;2;3;6;6;3;29
6132;5543;3795;91;1;2;2;6;3;2;3;6;6;3;29
6133;3796;5547;91;1;2;4;6;3;2;3;5;6;3;28
6134;3796;5547;91;1;2;4;6;3;3;3;5;5;3;28
6135;5543;3799;91;1;7;6;6;3;2;3;5;6;3;28
6136;5543;4783;91;1;5;5;6;3;2;3;6;6;3;29
6137;5543;4783;91;1;5;5;6;3;2;3;5;6;3;28
6138;5543;4783;91;1;5;5;6;3;2;3;6;6;3;29
6139;3001;5549;91;1;6;1;6;3;2;3;6;6;3;29
6140;3001;5549;91;1;6;1;6;3;2;3;6;6;3;29
6141;3001;5549;91;1;6;1;6;3;2;3;6;6;3;29
6142;5543;4792;91;1;5;5;6;3;2;3;4;6;3;27
6143;5543;4792;91;1;5;5;6;3;2;3;4;6;3;27
6144;5543;5541;91;1;7;7;6;3;2;3;5;6;3;28
6145;5543;5541;91;1;7;7;6;3;2;3;5;6;3;28
6146;5543;5541;91;1;7;7;6;3;2;3;5;6;3;28
6147;5543;5551;91;1;3;3;6;3;2;3;5;6;3;28
6148;5543;5551;91;1;3;3;6;3;2;3;5;6;3;28
6149;5543;5558;91;1;2;1;6;3;2;3;6;6;3;29
6150;5543;5558;91;1;2;1;6;3;2;3;6;5;3;28
6151;5543;5558;91;1;2;1;6;3;2;3;6;6;3;29
6460;5543;6109;92;1;3;2;6;3;2;3;6;6;3;29
6461;6123;6110;92;1;4;0;6;3;2;3;6;6;3;29
6462;6123;6110;92;1;4;0;6;3;2;3;5;6;3;28
6463;6114;6131;92;1;1;2;6;3;2;3;5;6;3;28
6464;6114;6131;92;1;1;2;4;3;3;3;5;5;3;26
6465;5543;6137;92;1;1;3;6;3;2;3;5;6;3;28
6466;5543;5558;92;1;0;2;6;3;2;3;6;6;3;29
3879;796;809;88;2;4;3;2;2;3;3;6;5;3;24
3880;2329;2252;88;2;4;4;2;3;3;3;6;5;3;25
3881;796;809;88;2;4;3;2;3;3;2;5;5;3;23
3882;2329;2252;88;2;4;4;4;2;3;3;6;5;3;26
3883;796;809;88;2;4;3;4;3;3;3;5;5;3;26
3884;2329;2252;88;2;4;4;4;2;3;3;6;5;3;26
3885;2329;2252;88;2;4;4;4;2;3;3;6;5;3;26
3886;1348;1458;88;2;5;5;4;3;3;1;6;5;3;25
3887;1348;1458;88;2;5;5;4;2;3;3;6;5;3;26
3888;1348;1458;88;2;5;5;4;2;3;3;6;5;3;26
3889;1336;1367;88;2;7;7;4;2;3;2;6;5;3;25
3890;1336;1367;88;2;7;7;4;2;3;1;5;5;3;23
3891;1336;1367;88;2;7;7;2;1;3;2;5;5;3;21
3892;1336;1367;88;2;7;7;4;2;3;3;5;5;3;25
3893;1336;1367;88;2;7;7;6;2;3;2;6;5;3;27
3894;2284;3171;88;2;4;4;6;1;3;2;5;4;3;24
3895;1336;1367;88;2;7;7;4;1;3;1;5;5;3;22
3896;1348;2263;88;2;4;3;6;2;3;3;5;5;3;27
3897;1362;1376;88;2;6;2;4;2;3;2;5;5;3;24
3898;2379;789;88;2;5;4;4;2;3;3;5;4;3;24
3899;749;3232;88;2;6;6;4;1;3;2;5;5;3;23
3900;2329;2369;88;2;5;4;4;2;3;1;6;6;3;25
3901;749;3232;88;2;6;6;4;2;3;2;5;4;3;23
3902;3019;2318;88;2;4;3;4;3;3;3;5;5;3;26
3903;3019;2318;88;2;4;3;4;3;3;3;5;5;3;26
3904;2329;3234;88;2;5;3;4;3;3;3;5;5;3;26
3905;3038;1449;88;2;5;5;4;2;3;2;5;5;3;24
3906;2317;2366;88;2;5;5;4;2;3;2;6;5;3;25
3907;722;1334;88;2;6;5;2;2;3;3;5;4;3;22
3908;722;1334;88;2;6;5;2;2;3;3;4;4;3;21
3909;2317;2366;88;2;5;5;6;3;3;2;5;5;3;27
3910;2256;1393;88;2;5;5;6;3;3;2;4;4;3;25
3913;1348;718;88;2;4;3;4;3;3;3;5;5;3;26
3914;1348;718;88;2;4;3;6;3;3;2;5;5;3;27
3915;796;3233;88;2;5;4;4;3;3;3;5;5;3;26
3917;2256;1393;88;2;5;5;6;2;2;3;5;6;3;27
3919;3282;731;88;2;4;4;4;2;2;2;6;6;3;25
3920;1426;756;88;2;5;2;4;2;2;3;6;6;3;26
3921;1426;756;88;2;5;2;6;2;3;3;5;6;3;28
3922;3236;3089;88;2;3;3;6;3;3;3;5;5;3;28
